InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
577258,23290,SPACEBOY CHILDRENS BOWL,1,2011-11-18 12:27:00,-15.5,16764.0,United Kingdom
581021,22465,HANGING METAL STAR LANTERN,12,2011-12-07 10:24:00,-15.5,14769.0,United Kingdom
571565,22130,PARTY CONE CHRISTMAS DECORATION ,12,2011-10-18 10:18:00,-15.5,12720.0,Germany
561885,21847,GREEN  DIAMANTE PEN IN GIFT BOX,1,2011-07-31 13:13:00,-15.5,15532.0,United Kingdom
552191,22968,ROSE COTTAGE KEEPSAKE BOX ,2,2011-05-06 14:12:00,-15.5,16832.0,United Kingdom
547871,20713,JUMBO BAG OWLS,3,2011-03-27 14:28:00,PRECIO_INVALIDO,16931.0,United Kingdom
574260,22423,REGENCY CAKESTAND 3 TIER,4,2011-11-03 13:58:00,PRECIO_INVALIDO,13014.0,United Kingdom
560878,22413,METAL SIGN TAKE IT OR LEAVE IT ,2,2011-07-21 15:16:00,PRECIO_INVALIDO,14410.0,United Kingdom
568185,21329,DINOSAURS  WRITING SET ,1,2011-09-25 14:08:00,PRECIO_INVALIDO,16594.0,United Kingdom
569220,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-10-02 13:26:00,PRECIO_INVALIDO,16007.0,United Kingdom
576599,23367,SET 12 COLOUR PENCILS SPACEBOY ,-50,2011-11-15 15:06:00,0.65,14544.0,United Kingdom
563946,85049G,CHOCOLATE BOX RIBBONS ,-50,2011-08-22 10:15:00,1.25,17527.0,United Kingdom
576933,23206,LUNCH BAG APPLE DESIGN,-50,2011-11-17 11:29:00,1.65,15529.0,United Kingdom
565226,22624,IVORY KITCHEN SCALES,-50,2011-09-02 08:50:00,8.5,16992.0,United Kingdom
580404,23367,SET 12 COLOUR PENCILS SPACEBOY ,-50,2011-12-04 12:01:00,0.65,13596.0,United Kingdom
578999,20846,ZINC HEART LATTICE T-LIGHT HOLDER,4,2005-01-01 10:00:00,1.25,17595.0,United Kingdom
537404,85099C,JUMBO  BAG BAROQUE BLACK WHITE,3,2005-01-01 10:00:00,1.95,17191.0,United Kingdom
555591,79321,CHILLI LIGHTS,4,2005-01-01 10:00:00,5.75,15073.0,United Kingdom
572703,23266,SET OF 3 WOODEN STOCKING DECORATION,2,2005-01-01 10:00:00,1.25,16110.0,United Kingdom
562444,21917,SET 12 KIDS  WHITE CHALK STICKS,12,2005-01-01 10:00:00,0.42,14713.0,United Kingdom
550196,22236,CAKE STAND 3 TIER MAGIC GARDEN,1,2011-04-15 10:09:00,12.75,,United Kingdom
574253,22045,SPACEBOY GIFT WRAP,25,2011-11-03 13:30:00,0.42,,United Kingdom
550637,23206,LUNCH BAG APPLE DESIGN,4,2011-04-19 15:39:00,1.65,,United Kingdom
550202,23008,DOLLY GIRL BABY GIFT SET,1,2011-04-15 10:27:00,16.95,,United Kingdom
578323,23321,SMALL WHITE HEART OF WICKER,3,2011-11-23 17:19:00,1.65,,United Kingdom
574544,22199,FRYING PAN RED RETROSPOT,4,2011-11-04 14:49:00,4.25,,United Kingdom
